Year,Month,Month year,Rolling Mean,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico
1998,8,,,114.5765815,108.3587323,204.9008328,114.5564674,168.6747801,164.7088928,33.45448642,136.5954557,26.05469786,87.88340715,132.2756937,187.1500248,49.05464346,142.445852,223.3112583,88.18752289,162.5206363,59.35732676,72.37319946,,56.53371922,130.4670375,38.22539839,181.1338229,144.2645044,258.4811246
1998,9,,,141.8845267,140.334603,169.6092239,170.3008107,142.7344236,248.4858246,65.05260813,161.552947,95.31884349,155.4572054,136.5491961,163.2897235,135.4671267,243.8862302,183.1456663,140.4541321,173.3650856,239.3199186,89.86407471,,120.3037197,169.0372652,74.3296977,287.5664394,142.2921204,428.1608889
1998,10,,,118.8965824,114.0827737,101.4112101,71.36449153,195.2514295,145.4777527,112.1281858,128.3741395,59.14083004,77.70742899,149.6314125,155.0008943,41.92584613,109.7539394,201.4199163,118.568222,135.5902821,37.66239739,74.40351105,,134.3556672,145.023234,128.118678,125.7321826,123.6959908,235.4998237
1998,11,,,97.10232539,90.22980028,90.05532093,110.0508694,152.6830807,94.46794891,44.73606088,123.3571433,62.61157504,127.0600582,88.83730476,97.94009225,106.4316711,112.4578296,133.9699636,89.15898895,106.5209227,22.18051152,59.79561996,,125.8946119,113.504746,51.11582728,164.7411324,99.21585128,241.9322209
1998,12,,,91.02158154,88.27692204,52.15093541,98.40010497,112.9366969,154.2637024,60.97346171,120.8369653,66.05536056,127.4077295,86.57640565,95.34296954,70.21043777,104.4127515,124.8526027,94.91594696,100.8822496,88.52604746,64.24643707,,56.46775263,110.8949835,69.66882816,171.1434974,94.42723528,262.0566222
1999,1,,,97.11083126,96.57417177,46.96805257,189.1585907,101.6886031,154.7360229,108.2344519,129.3506054,83.07643131,111.2602821,57.91408932,78.75651011,46.17628777,106.9392441,119.3619997,81.92739105,95.20870881,73.61166963,53.54195404,,71.11097893,123.3228375,123.6696625,260.0504238,103.7335108,250.4480115
1999,2,,,80.8818626,79.46329588,65.43460255,128.0170687,67.56764708,129.024704,86.0522267,104.8633504,42.25163557,104.8559806,85.64400754,85.18131765,89.81514875,72.18669763,118.4238697,59.31647491,85.92439282,60.10918623,47.74877167,,64.79441889,94.9962816,98.32405158,212.1331583,97.73988163,118.9597446
1999,3,,,65.15758063,62.92239709,44.95653695,75.83777598,30.09705885,111.1910553,72.00899931,83.13500501,49.74752337,65.63091168,81.53706235,80.23341303,20.54536726,107.4972889,106.8910757,39.12401581,84.04598844,18.03997186,44.43549728,,65.50212678,67.02757148,82.2781331,309.7433783,89.86271654,103.1793085
1999,4,,,63.36759976,58.66552259,49.88933568,65.80964031,45.12118173,108.0075684,14.49842702,90.10295859,55.28368976,95.32921642,108.1387454,71.45883464,58.71240347,64.25144994,97.3188524,52.50693512,74.12895126,56.74246655,59.07439423,,59.4479461,69.78789409,16.56603369,287.1978063,87.56561255,146.2616291
1999,5,,,71.06154915,72.64173072,104.0902528,52.72379276,57.5239586,114.5943909,101.5565135,90.07110117,24.78511264,87.84144129,117.5853196,97.98252337,39.22107765,76.10186941,127.2797089,60.596035,83.66628173,106.0126741,64.06237793,,60.37749553,64.77645683,116.0393897,298.9891732,90.97799456,98.19577009
1999,6,,,72.02908365,71.84150419,57.5302562,71.00734439,67.04100293,165.1345825,88.8514808,97.25871478,32.23488479,131.9817321,112.0497532,77.11493958,41.90930733,101.8196716,99.66202111,33.70184708,82.47767337,61.29420758,58.63789368,,49.61610213,74.92561924,101.5225046,188.4365083,107.9751329,138.1517156
1999,7,,,72.1517846,71.56107317,45.38542721,80.2437753,65.48010488,92.84342194,58.55826585,92.61113808,20.79172783,102.2240948,82.17018044,80.5410359,81.12253056,122.3840686,92.8908125,57.6711998,91.81900644,95.16970587,52.7299614,,48.86079254,86.52993788,66.90920354,179.5313787,132.2880234,119.3851806
1999,8,,,62.08969488,60.94237157,39.49288111,35.25665107,30.9612834,89.27078247,34.83328154,94.84286351,11.2873115,118.1787222,87.84252017,58.55870964,70.17951827,53.95140295,86.25032618,29.66118622,64.48821893,152.340443,57.33949661,,43.78325057,77.02533663,39.80082216,271.3135133,100.3786411,170.2494572
1999,9,,,66.73465671,64.44946767,74.78085575,62.94440252,62.31436587,149.7902527,89.53414584,109.0384922,28.03570479,106.5434917,96.36029694,45.0313182,19.99437171,60.67523704,90.88187456,52.50417709,59.25353733,18.92606619,53.41875839,,55.62634996,77.49835239,102.3025238,330.8695849,92.13588282,250.0888978
1999,10,,,65.5089107,66.47000529,64.87451245,96.94046147,44.70094863,95.46336365,68.50654805,98.42978694,27.94557751,104.1379015,81.41807645,63.18034399,97.24493737,79.26862511,96.06493453,75.1354599,70.12336446,109.1901657,61.06341934,,60.05670407,65.33707899,78.27620066,140.0701087,91.34620242,154.5662496
1999,11,,,68.44220979,64.84901971,54.52392111,52.28419886,51.08799393,127.0669632,54.27662538,89.73476347,49.83722355,139.8860522,58.11319962,66.81366752,58.25098826,84.96528965,88.49441934,48.58271027,75.36338655,29.15091476,71.71848297,,43.94887451,76.31718243,62.01696246,116.4035147,85.92704023,125.0841755
1999,12,,,60.26683063,56.22896645,36.85750196,49.51983595,60.98645244,98.33205414,32.37659131,86.24159781,33.27027641,52.08928193,70.0312372,66.03072506,110.3220084,84.88604779,88.54728378,22.42744637,76.80699309,31.09631983,67.75049591,,25.34095334,79.32242993,36.9937857,245.8725249,86.67847251,160.1713103
2000,1,,,63.73856222,61.93009645,69.78864935,54.60319871,46.92810606,104.1838226,39.18035625,115.5669157,18.45133769,73.23399039,83.62772729,55.47412224,69.78002895,50.61680223,79.63295321,55.09235382,65.22063937,117.1262397,71.13204956,,30.08247026,88.98869391,44.00444131,58.98450388,94.84992255,161.0201342
2000,2,,,58.82080072,53.23104823,63.00331837,41.26398422,45.72283778,76.43724823,8.345902402,96.30497491,33.22514295,97.3584286,72.91782749,58.04263366,43.40759717,78.89507808,78.50951062,33.02025604,71.6520502,27.02751179,81.57538605,,36.62590194,73.3651997,9.066708395,15.91917893,80.97971805,157.8409203
2000,3,,,61.28995563,58.16563908,52.3004116,73.60725316,39.3226679,78.59699249,40.17857825,90.83786184,42.40265961,96.09150486,74.48791967,63.43669293,94.24296468,83.25488193,79.1089239,33.10464096,74.00160701,27.27277052,60.32898712,,45.16381296,73.29862438,44.39913514,46.51684733,80.28338222,90.80582314
2000,4,,,64.55732649,61.17114221,73.9399729,96.34906059,53.17446608,63.72872925,31.78853765,180.2340079,16.59283333,69.44795177,90.26221439,78.92112261,60.03395785,97.98117552,101.2100278,74.56822968,86.18901592,25.909132,75.03840637,,42.74243695,70.59974192,35.44141489,28.30297269,79.57239536,93.59448738
2000,5,,,87.16467852,84.5515632,104.0624966,189.9685276,54.20769189,120.891922,61.90725309,236.3476632,55.37305664,135.287133,84.30068971,59.61799305,72.7173813,61.06956275,88.21092882,126.7980652,78.56718217,42.9760626,61.14234161,,53.87834089,118.1432082,71.13580205,31.42203087,78.59933178,136.3500612
2000,6,,,88.42969063,82.91348466,99.2207532,106.8726478,45.04951296,156.8311157,34.94703988,134.0084448,35.07029337,58.29011651,61.09165767,110.3440655,57.91755083,71.40203244,150.8151336,115.8644562,102.7409202,115.9414222,83.65390015,,51.15049901,109.5842294,36.85697436,43.22094891,78.81714765,216.0389195
2000,7,,,65.12402354,58.56459178,70.96082723,54.11724791,40.84016306,112.734314,20.493927,104.0229276,40.53876511,75.23576565,38.66615906,71.49956038,41.32649775,60.31278859,94.72202101,58.34344101,76.95698518,15.7766893,70.68115234,,30.86351071,86.65834801,18.60740453,42.66123811,81.51877844,125.4042988
2000,8,,,54.240237,51.71691744,62.6750077,99.490328,55.0539103,90.83744049,25.75708553,111.0765832,23.92303093,76.06293221,59.85161073,60.11516998,45.70940909,74.96423533,81.78909212,44.88225555,70.34138966,28.98224987,55.15378571,,29.02702081,58.90646108,27.14086565,27.39628704,66.88322852,89.63743156
2000,9,,,61.00018676,62.40354737,45.12036423,103.9327322,45.26046531,200.569046,51.20724178,81.00942405,40.68970434,68.36932811,77.43680753,50.60597947,38.98361401,85.74362695,63.25490434,121.4242249,67.00832579,101.0238424,67.98590851,,57.47051216,73.55099247,58.0100458,31.49993892,70.38968024,89.9356403
