Year,Country,EPU
2005,RUS,91.402115655
2006,RUS,101.2296444325
2007,RUS,93.6095141933333
2008,RUS,121.612354395833
2009,RUS,88.6538377025
2010,RUS,111.6195064625
2011,RUS,140.7317260375
2012,RUS,145.520763785
2013,RUS,169.230323268333
2014,RUS,232.698630733333
2015,RUS,206.314322269167
2016,RUS,183.741433834167
2017,RUS,215.553690983333
2018,RUS,197.514115359167
2019,RUS,284.116800491667
2020,RUS,490.728931575
2021,RUS,333.509322958333
2022,RUS,577.142116208333
1996,ESP,
1997,ESP,62.636508625
1998,ESP,64.0795040116667
1999,ESP,57.6267919541667
2000,ESP,70.9250679016667
2001,ESP,86.30473264
2002,ESP,85.3679974883333
2003,ESP,95.90610313
2004,ESP,82.5826237983333
2005,ESP,76.34061972
2006,ESP,77.3562024433333
2007,ESP,79.7060410158333
2008,ESP,100.208363853333
2009,ESP,98.9371662175
2010,ESP,119.054450990833
2011,ESP,140.684178033333
2012,ESP,178.043355316667
2013,ESP,134.213879916667
2014,ESP,124.69510525
2015,ESP,128.434703825
2016,ESP,119.888570141667
2017,ESP,109.659124376667
2018,ESP,115.634517671667
2019,ESP,136.959501275
2020,ESP,196.719155616667
2021,ESP,143.970907216667
2022,ESP,156.403645825
1996,SGP,
1997,SGP,
1998,SGP,
1999,SGP,
2000,SGP,
2001,SGP,
2002,SGP,
2003,SGP,99.9144221725
2004,SGP,76.0218398533333
2005,SGP,62.2009122316667
2006,SGP,62.5883389383333
2007,SGP,68.1262764933333
2008,SGP,128.234463645833
2009,SGP,117.6479759
2010,SGP,126.241978958333
2011,SGP,149.374096688333
2012,SGP,159.278830241667
2013,SGP,123.199177501667
2014,SGP,98.4300032125
2015,SGP,115.315852913333
2016,SGP,179.395131758333
2017,SGP,177.6567753
2018,SGP,201.715627158333
2019,SGP,277.156896325
2020,SGP,316.553662433333
2021,SGP,217.145738983333
2022,SGP,288.421024591667
1996,GBR,
1997,GBR,66.4673718091667
1998,GBR,86.535702795
1999,GBR,54.0388327791667
2000,GBR,47.8443941125
2001,GBR,91.3780040233333
2002,GBR,92.9190127383333
2003,GBR,134.735577676667
2004,GBR,82.077179735
2005,GBR,73.5129555258333
2006,GBR,74.2159615933333
2007,GBR,70.1118174783333
2008,GBR,154.917785608333
2009,GBR,139.374787310833
2010,GBR,231.870616791667
2011,GBR,227.596939633333
2012,GBR,305.4302122
2013,GBR,222.401923233333
2014,GBR,181.586883108333
2015,GBR,204.458848758333
2016,GBR,542.765561708333
2017,GBR,475.84402845
2018,GBR,368.134808366667
2019,GBR,430.903170775
2020,GBR,307.048728308333
2021,GBR,185.34849275
2022,GBR,294.053585575
1996,USA,75.8333609908333
1997,USA,78.5069793933333
1998,USA,108.1890656775
1999,USA,79.7389149158333
2000,USA,96.5534565316667
2001,USA,152.18503884
2002,USA,128.646792891667
2003,USA,127.8521580375
2004,USA,90.600456755
2005,USA,70.8735106275
2006,USA,67.136286645
2007,USA,79.7098087541667
2008,USA,139.382629256667
2009,USA,125.8881432775
2010,USA,147.645633775
2011,USA,157.352081666667
2012,USA,157.976925781667
2013,USA,137.96055365
2014,USA,92.4671566316667
2015,USA,112.941398623333
2016,USA,145.1282442275
2017,USA,142.3956544
2018,USA,153.1932409
2019,USA,188.695714475
2020,USA,326.320120433333
2021,USA,175.252731775
2022,USA,184.359070666667
1996,SCMP CHN,
1997,SCMP CHN,65.2644117516667
1998,SCMP CHN,69.3957389625
1999,SCMP CHN,77.0582727908333
2000,SCMP CHN,55.6874153445833
2001,SCMP CHN,129.160571305
2002,SCMP CHN,124.356311301667
2003,SCMP CHN,106.595896448333
2004,SCMP CHN,83.5513808625
2005,SCMP CHN,64.9618836083333
2006,SCMP CHN,73.2737515441667
2007,SCMP CHN,82.2452193383333
2008,SCMP CHN,179.040524641667
