Year,GEPU_current,GEPU_ppp,AUS,BRA,CAN,CHL,Hybrid CHN,COL,FRA,DEU,GRC,IND,IRL,ITA,JPN,KOR,NLD,RUS,ESP,SGP,GBR,USA,SCMP CHN,Mainland CHN,SWE,MEX
2006,62.6765253616667,64.3326462533333,46.3900914825,96.7511026016667,62.55352216,70.7299340558333,70.5930949241667,84.2046493625,74.5871891433333,81.3485511325,71.1943498333333,49.4825744691667,74.9650317691667,69.3355965475,64.8966644508333,90.7407429991667,60.4611226225,101.2296444325,77.3562024433333,62.5883389383333,74.2159615933333,67.136286645,73.2737515441667,57.8854840575,79.2608424475,61.6043897591667
2007,69.8200931775,69.9698245791667,53.3628777166667,113.580533169167,67.613704045,61.0230223375,69.5654626525,66.2720575483333,116.190720955,87.82219462,75.2194183,52.8730958641667,81.6545605558333,60.1406380016667,81.0728092483333,82.56945769,48.7247256683333,93.6095141933333,79.7060410158333,68.1262764933333,70.1118174783333,79.7098087541667,82.2452193383333,50.4433799266667,68.4000238833333,60.3150475634167
2008,121.319966420833,125.1443034275,152.111377096667,174.038622833333,155.20076908,103.538988740833,147.9399105125,103.359480156667,160.416953769167,134.7522778625,102.830023095833,141.7768246175,127.596711609167,85.53144311,129.431754369167,140.70764097,101.971603265833,121.612354395833,100.208363853333,128.234463645833,154.917785608333,139.382629256667,179.040524641667,104.555512844167,94.1413005383333,81.3923693283333
2009,110.8760399375,112.5427039825,105.729238806667,131.447046484167,131.819962255833,71.7177492783333,137.163063303333,110.396107475833,138.675664835833,111.631794903333,96.0171914125,108.936623775833,127.0928877375,104.6585157025,128.9544547,147.083365741667,131.130965426667,88.6538377025,98.9371662175,117.6479759,139.374787310833,125.8881432775,127.6239198875,122.1677632975,82.6131538466667,78.7253586591667
2010,124.089254958333,120.855295099167,148.767025138333,92.7765529341667,148.513099105833,71.2110646541667,117.117434473333,84.8679522191667,207.436671225,140.1864234,118.475447965,108.77500225,148.551768354167,122.04680722,126.808401935833,148.724538166667,124.12537298,111.6195064625,119.054450990833,126.241978958333,231.870616791667,147.645633775,98.8881721958333,110.943374468333,89.126253355,70.2674352908333
2011,146.172713098333,146.984510399167,173.523319665,133.884858194167,232.401417391667,97.1491018966667,158.346183651667,98.7782027525,250.129037616667,191.28518939,116.5996568975,162.9657227275,144.569866555833,142.661325413333,137.757486558333,167.025594720833,123.5526623275,140.7317260375,140.684178033333,149.374096688333,227.596939633333,157.352081666667,170.6363516925,125.715055226667,105.664432298333,66.6106306716667
2012,153.706043066667,157.899854625,166.508332508333,117.5301905925,225.379193866667,99.4403642,189.705826825,87.59502642,279.151016816667,177.682105658333,123.760615883333,185.464615341667,150.283473008333,137.047908115,126.855432983333,163.274972283333,133.238869529167,145.520763785,178.043355316667,159.278830241667,305.4302122,157.976925781667,244.398295033333,124.335536709167,98.3893538508333,53.977195115
2013,127.287624461667,126.817339784167,122.751894525,137.8887406025,180.977739675,99.8415972433333,120.550462365,79.2095054025,247.6891157,148.588751975,97.3836004483334,133.101270728333,157.283314433333,163.675515691667,99.182493865,130.60922368,142.868363383333,169.230323268333,134.213879916667,123.199177501667,222.401923233333,137.96055365,113.897361158333,106.233496781667,95.9776458991667,44.3993133266667
2014,105.9534992175,108.716086618333,76.8656733358333,148.634723280833,151.811471025,154.164598461667,117.658521705833,90.2831669125,191.26749395,125.194542175,101.210326401667,96.6791922758333,116.930132023333,116.820401486667,97.068218575,81.8815139158333,95.057381645,232.698630733333,124.69510525,98.4300032125,181.586883108333,92.4671566316667,123.634880611667,95.4868369716667,107.31771613,27.0009143175
2015,120.77224675,122.243944758333,90.402320055,249.816768983333,187.911318566667,150.536739988333,140.641809593333,125.9325401675,224.390588066667,157.005197873333,130.19850319,70.8934949266667,123.166725304167,106.1222446125,94.1950386325,128.24691964,84.4570183016667,206.314322269167,128.434703825,115.315852913333,204.458848758333,112.941398623333,181.286651608333,92.1142078066667,103.53091969,32.503436105
2016,176.5098792,176.311789983333,130.621369288333,308.932367016667,232.739768466667,140.449340185833,245.720960608333,147.658581461667,309.569314616667,231.436768941667,118.269943775,73.9753140133333,193.724211985833,129.3141490425,145.583273015,188.809489966667,82.8978687408333,183.741433834167,119.888570141667,179.395131758333,542.765561708333,145.1282442275,364.832787333333,129.313867891667,107.980807628333,49.6878921491667
2017,175.645510325,180.06912325,82.6657516591667,346.490037116667,243.620082791667,120.340855915833,296.7691887,137.337654241667,317.11854155,177.634438141667,98.1747242008333,72.7428750758334,178.5539310975,78.2164237041667,98.2250621358333,160.771507128333,74.262443735,215.553690983333,109.659124376667,177.6567753,475.84402845,142.3956544,363.873982075,206.6387024,100.579097679167,64.6760682525
2018,189.615604966667,193.95012545,80.75509858,165.0882777225,331.682166083333,106.3369566675,386.4130896,120.649908135,250.139677541667,172.449597016667,100.327400063333,57.02824502,155.178893628333,114.6300318025,97.3399011941667,145.203710174167,65.4733377408333,197.514115359167,115.634517671667,201.715627158333,368.134808366667,153.1932409,460.469809875,277.813122083333,111.01773215,68.8537205933333
2019,256.039653066667,268.153781533333,128.535416793333,158.080665691667,333.364576991667,170.535104744167,588.373305175,151.064798258333,255.897430441667,204.551959566667,79.3267831641667,73.0938906483333,152.229671378333,125.669907226667,126.973034508333,257.361506366667,88.4502082133333,284.116800491667,136.959501275,277.156896325,430.903170775,188.695714475,791.873747741667,363.358617375,104.525053225,94.0037485658333
2020,318.419727025,326.2220809,182.276060983333,255.4915945,464.243382291667,260.624470666667,587.102137508333,227.061770691667,308.753851483333,322.3636994,71.3972898691667,99.5458256208333,263.54041105,173.075027075,140.3693461525,203.885311625,131.331073518333,490.728931575,196.719155616667,316.553662433333,307.048728308333,326.320120433333,747.855783,390.387972075,115.801087871667,93.49534778
2021,214.790072491667,220.354285258333,106.147550409167,188.61544309,277.162266283333,304.940491991667,409.257111575,123.079125495,250.8150357,305.422728758333,63.3639709975,59.7908763316667,234.696539025,113.715930411667,94.8848831133333,175.748593641667,105.950793715833,333.509322958333,143.970907216667,217.145738983333,185.34849275,175.252731775,508.89471965,280.29736365,101.5892334625,71.7360260616667
2022,278.927641716667,288.866235283333,156.00923455,195.776664883333,277.911000583333,337.515694933333,523.316078283333,145.720812533333,340.50269855,669.010245358333,58.532069925,81.1512260666667,319.529824108333,121.598692415,110.1581065925,268.9412761,100.723365978333,577.142116208333,156.403645825,288.421024591667,294.053585575,184.359070666667,716.923569258333,314.892329533333,123.95248185,73.9822640625
